Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
ABB.NS,2023-06-16,0.0,0.38,4336.9,4350.0,4288.0,4349.85,3809.5,4349.85,2679.95,Bullish,0.0025348181564681244,1.866834940906424,Nifty100
ADANIENT.NS,2023-06-16,0.0,0.31,2509.6,2526.9,2487.4,2633.7,1857.75,4165.3,1193.5,Bullish,0.0029852493588247344,0.8943486302744237,Nifty100
AGI.ns,2023-06-16,0.0,0.38,602.3,626.9,596.7,637.7,546.5,637.7,285.2,Bullish,1,1,NiftyMicroCap250
AARTIPHARM.ns,2023-06-16,0.0,0.38,394.0,405.9,392.25,404.85,336.0,408.65,247.15,Bullish,1,1,NiftyMicroCap250
AMARAJABAT.ns,2023-06-16,0.0,0.56,624.5,639.0,619.0,649.0,594.65,664.0,485.2,Bullish,1,1,Niftysmallcap100
AHLUCONT.ns,2023-06-16,0.0,0.44,626.4,632.0,615.0,629.5,520.0,629.5,405.35,Bullish,1,1,NiftyMicroCap250
ANGELONE.ns,2023-06-16,0.0,0.25,1555.85,1576.95,1540.25,1562.95,1181.2,1649.6,1002.85,Bullish,1,1,Niftysmallcap100
ADANIPOWER.ns,2023-06-16,0.0,0.38,266.1,273.0,264.8,279.15,214.0,371.4,139.35,Bullish,0.0030752379656199297,0.2278453175656918,NIFTYMIDCAP100
ALOKINDS.ns,2023-06-16,0.0,0.38,15.4,15.5,14.15,15.4,12.6,17.95,10.6,Bullish,1,1,NiftyMicroCap250
AMBUJACEM.NS,2023-06-16,0.28,0.7,460.9,465.6,457.0,464.6,395.5,587.75,329.9,Bullish,0.0028830047168661643,0.9207031196848302,Nifty100
AMIORG.ns,2023-06-16,0.0,0.44,1315.75,1358.0,1294.9,1315.75,1066.25,1315.75,865.7,Bullish,1,1,NiftyMicroCap250
APOLLOHOSP.NS,2023-06-16,0.28,0.27,5200.05,5294.0,5163.05,5218.75,4410.25,5218.75,4200.95,Bullish,0.0064624169572628475,0.045477054949431904,Nifty100
ANANDRATHI.ns,2023-06-16,0.0,0.38,865.8,879.25,863.5,881.3,835.75,881.55,660.0,Bullish,1,1,NiftyMicroCap250
ASIANPAINT.NS,2023-06-16,0.0,0.38,3316.85,3322.0,3286.55,3316.85,3046.0,3316.85,2705.65,Bullish,0.003313182396113655,0.3070971674702261,Nifty100
APOLLOTYRE.ns,2023-06-16,0.0,0.44,411.6,413.0,408.6,411.6,359.0,411.6,267.3,Bullish,0.004849651338148742,0.23538130681541386,NIFTYMIDCAP100
ANANTRAJ.ns,2023-06-16,0.0,0.5,167.5,170.65,166.1,168.6,138.2,168.6,89.9,Bullish,1,1,NiftyMicroCap250
ASHOKLEY.ns,2023-06-16,0.07,0.32,164.4,167.8,158.1,164.4,144.1,164.4,134.6,Bullish,0.00223136011490389,0.44296729324677864,NIFTYMIDCAP100
AXISBANK.NS,2023-06-16,0.0,0.56,981.55,985.45,977.2,985.85,908.95,985.85,776.85,Bullish,0.0016325024953376369,1.121263732454032,Nifty100
BDL.ns,2023-06-16,0.0,0.38,1179.05,1199.15,1130.75,1191.25,975.3,1191.25,800.1,Bullish,1,1,Niftysmallcap100
APCOTEXIND.ns,2023-06-16,0.0,0.5,577.5,584.4,570.1,579.45,463.1,603.3,400.4,Bullish,1,1,NiftyMicroCap250
ASTRAL.ns,2023-06-16,0.0,0.25,1960.15,1996.0,1955.1,2006.95,1551.15,2006.95,1301.3,Bullish,0.007363824195999571,0.2546299695508441,NIFTYMIDCAP100
APOLLOPIPE.ns,2023-06-16,0.0,0.5,708.15,721.0,702.1,729.65,600.0,729.65,467.5,Bullish,1,1,NiftyMicroCap250
AUROPHARMA.ns,2023-06-16,0.0,0.38,682.6,689.85,676.1,685.4,581.25,685.4,404.2,Bullish,0.0029180022060794073,1.0214327752037926,NIFTYMIDCAP100
ARVINDFASN.ns,2023-06-16,0.0,0.38,340.9,345.55,337.15,340.9,263.95,374.65,265.85,Bullish,1,1,NiftyMicroCap250
BIKAJI.ns,2023-06-16,0.1,0.51,409.25,416.7,405.0,416.05,364.05,443.05,310.9,Bullish,1,1,Niftysmallcap100
ARVIND.ns,2023-06-16,0.0,0.38,132.2,134.55,130.1,133.6,106.2,133.6,79.85,Bullish,1,1,NiftyMicroCap250
BIRLACORPN.ns,2023-06-16,0.0,0.5,1199.4,1254.0,1186.0,1229.3,979.95,1229.3,852.9,Bullish,1,1,Niftysmallcap100
BAJAJFINSV.NS,2023-06-16,0.0,0.31,1508.6,1515.0,1474.7,1508.6,1397.05,1800.7,1223.15,Bullish,0.0008628956422760078,1.4853352812908909,Nifty100
ASTRAZEN.ns,2023-06-16,0.23,0.33,3642.55,3690.0,3626.15,3652.4,3125.0,3652.4,2963.1,Bullish,1,1,NiftyMicroCap250
BHARATFORG.ns,2023-06-16,0.0,0.5,837.85,841.7,824.35,837.85,752.85,908.65,747.8,Bullish,0.0034840169155176395,0.45319074602245774,NIFTYMIDCAP100
BEL.NS,2023-06-16,0.0,0.44,125.2,127.25,121.65,125.2,105.7,125.2,88.95,Bullish,0.005828306054332536,0.49203236478478934,Nifty100
BPCL.NS,2023-06-16,0.0,0.25,376.8,378.7,374.4,378.9,354.6,378.9,292.15,Bullish,0.0009812157541438903,0.7232095976337385,Nifty100
BFUTILITIE.ns,2023-06-16,0.0,0.5,373.05,378.25,371.0,373.5,334.1,429.15,284.6,Bullish,1,1,NiftyMicroCap250
CANFINHOME.ns,2023-06-16,0.24,0.39,749.65,758.5,738.55,749.65,640.45,749.65,480.65,Bullish,1,1,Niftysmallcap100
BAJAJCON.ns,2023-06-16,0.0,0.5,183.8,186.0,183.45,188.4,172.05,188.4,147.3,Bullish,1,1,NiftyMicroCap250
CARBORUNIV.ns,2023-06-16,0.0,0.44,1231.5,1260.0,1225.0,1238.7,1123.65,1238.7,800.5,Bullish,1,1,Niftysmallcap100
BAJAJHIND.ns,2023-06-16,0.0,0.44,16.2,16.85,15.9,16.45,13.15,18.85,10.15,Bullish,1,1,NiftyMicroCap250
BRITANNIA.NS,2023-06-16,0.27,0.39,5044.7,5058.6,4970.0,5044.7,4484.15,5044.7,3713.1,Bullish,0.004526488468717367,0.8851943737613864,Nifty100
BARBEQUE.ns,2023-06-16,0.0,0.44,682.1,694.0,660.25,682.1,594.05,1148.25,596.2,Bullish,1,1,NiftyMicroCap250
CENTURYTEX.ns,2023-06-16,0.0,0.25,783.05,799.5,780.9,822.85,772.85,877.35,606.4,Bullish,1,1,Niftysmallcap100
CHOLAFIN.NS,2023-06-16,0.0,0.31,1126.65,1131.0,1112.0,1126.65,998.85,1126.65,665.95,Bullish,0.002128608686198482,0.818146044464861,Nifty100
BOMDYEING.ns,2023-06-16,0.0,0.31,99.1,99.9,96.8,99.1,79.05,99.1,53.9,Bullish,1,1,NiftyMicroCap250
CROMPTON.ns,2023-06-16,0.0,0.5,292.5,297.75,291.9,293.1,252.1,390.75,252.55,Bullish,0.0016196948384373565,1.2873347767813903,NIFTYMIDCAP100
BUTTERFLY.ns,2023-06-16,0.0,0.44,1180.8,1216.95,1175.3,1193.2,977.55,1814.3,1024.7,Bullish,1,1,NiftyMicroCap250
CARERATING.ns,2023-06-16,0.0,0.31,681.8,689.9,676.6,703.3,632.0,703.3,473.2,Bullish,1,1,NiftyMicroCap250
COCHINSHIP.ns,2023-06-16,0.0,0.5,579.15,594.4,558.0,579.15,468.95,677.5,414.0,Bullish,1,1,Niftysmallcap100
CMSINFO.ns,2023-06-16,0.0,0.31,338.55,346.95,337.0,343.1,296.45,345.15,269.25,Bullish,1,1,NiftyMicroCap250
DEEPAKNTR.ns,2023-06-16,0.0,0.44,2163.1,2178.0,2145.25,2163.1,1909.0,2343.5,1757.4,Bullish,0.0023275063920128614,0.9639782877659504,NIFTYMIDCAP100
CREDITACC.ns,2023-06-16,0.0,0.25,1177.3,1200.45,1172.55,1271.8,1033.3,1271.8,854.45,Bullish,1,1,Niftysmallcap100
CAPLIPOINT.ns,2023-06-16,0.0,0.56,812.25,818.55,809.0,817.35,691.1,817.35,584.15,Bullish,1,1,NiftyMicroCap250
CYIENT.ns,2023-06-16,0.0,0.44,1487.4,1506.5,1453.7,1497.8,1210.0,1497.8,730.75,Bullish,1,1,Niftysmallcap100
CARTRADE.ns,2023-06-16,0.0,0.75,488.9,491.5,483.8,539.35,407.0,609.85,347.9,Bullish,1,1,NiftyMicroCap250
DIXON.ns,2023-06-16,0.0,0.25,4546.6,4607.35,4461.1,4577.0,2858.05,4591.45,2644.2,Bullish,0.017883762017128404,0.135826887600502,NIFTYMIDCAP100
CARYSIL.ns,2023-06-16,0.0,0.62,654.9,663.95,643.15,677.05,542.0,677.05,431.6,Bullish,1,1,NiftyMicroCap250
DRREDDY.NS,2023-06-16,0.0,0.25,4915.05,4940.0,4825.15,4915.05,4384.05,4968.0,4200.95,Bearish,0.004531404925304929,0.37203792117782386,Nifty100
CHENNPETRO.ns,2023-06-16,0.0,0.31,385.25,395.7,376.0,396.15,308.95,396.15,189.1,Bullish,1,1,NiftyMicroCap250
NYKAA.NS,2023-06-16,0.0,0.5,144.35,145.5,138.5,144.35,122.15,214.48,115.95,Bullish,0.0044764330787814555,1.48265614186369,Nifty100
ELGIEQUIP.ns,2023-06-16,0.0,0.38,534.25,539.9,526.0,571.25,430.5,571.25,361.4,Bullish,1,1,Niftysmallcap100
EXIDEIND.ns,2023-06-16,0.0,0.25,215.0,217.0,206.15,215.0,187.2,215.0,154.25,Bullish,1,1,Niftysmallcap100
CONFIPET.ns,2023-06-16,0.0,0.5,71.65,74.4,71.3,73.1,58.5,85.95,56.4,Bullish,1,1,NiftyMicroCap250
GODREJCP.NS,2023-06-16,0.27,0.33,1070.0,1082.0,1048.3,1077.7,1001.0,1077.7,814.85,Bullish,0.0013584173332148977,0.7736398916191978,Nifty100
FACT.ns,2023-06-16,0.0,0.38,373.75,393.9,372.0,389.25,294.0,389.25,114.55,Bullish,1,1,Niftysmallcap100
GRASIM.NS,2023-06-16,0.0,0.25,1780.75,1789.75,1771.05,1780.75,1667.0,1826.05,1550.6,Bullish,0.0001825465999760658,1.0011953120919388,Nifty100
GODREJPROP.ns,2023-06-16,0.0,0.31,1536.55,1580.0,1525.0,1569.65,1286.3,1569.65,1013.45,Bullish,0.002991465389052459,1.14292394493548,NIFTYMIDCAP100
GLENMARK.ns,2023-06-16,0.0,0.38,642.45,648.95,636.5,663.05,581.0,663.05,371.15,Bullish,1,1,Niftysmallcap100
DCXINDIA.ns,2023-06-16,0.0,0.38,250.9,255.45,247.1,250.9,178.1,308.45,140.1,Bullish,1,1,NiftyMicroCap250
MEDANTA.ns,2023-06-16,0.0,0.25,648.6,669.9,635.05,654.25,543.45,654.25,414.15,Bullish,1,1,Niftysmallcap100
DALMIASUG.ns,2023-06-16,0.0,0.25,362.65,369.9,360.9,371.35,346.3,418.8,313.35,Bearish,1,1,NiftyMicroCap250
HDFCLIFE.NS,2023-06-16,0.05,0.25,609.55,615.0,576.6,609.55,552.4,611.65,461.4,Bullish,0.0004909822582663476,1.9521829545762568,Nifty100
DATAMATICS.ns,2023-06-16,0.0,0.62,562.95,578.4,560.4,588.65,442.1,588.65,258.9,Bullish,1,1,NiftyMicroCap250
HONAUT.ns,2023-06-16,0.0,0.38,42040.45,42189.0,41983.75,42040.45,37020.2,43391.4,34487.25,Bullish,0.0015867923932104677,0.45920717035592884,NIFTYMIDCAP100
DEN.ns,2023-06-16,0.0,0.56,34.4,34.75,33.45,34.55,30.0,38.8,25.85,Bullish,1,1,NiftyMicroCap250
IDFCFIRSTB.ns,2023-06-16,0.0,0.31,81.7,82.35,79.25,81.7,65.25,81.7,52.75,Bullish,0.0048334437851956045,1.6812215133732062,NIFTYMIDCAP100
HFCL.ns,2023-06-16,0.0,0.25,68.4,69.4,68.15,70.4,62.8,85.55,56.5,Bullish,1,1,Niftysmallcap100
DBL.ns,2023-06-16,0.0,0.31,230.0,233.9,227.3,231.75,159.55,241.4,162.1,Bullish,1,1,NiftyMicroCap250
HAL.NS,2023-06-16,0.0,0.44,3844.7,3886.0,3718.35,3844.7,2970.65,3844.7,2337.0,Bullish,0.011516093358581482,0.06761653208996127,Nifty100
HINDCOPPER.ns,2023-06-16,0.0,0.5,115.2,116.2,114.05,115.4,100.5,130.75,94.65,Bullish,1,1,Niftysmallcap100
HUDCO.ns,2023-06-16,0.0,0.25,58.85,59.35,58.65,61.8,53.1,61.8,35.05,Bullish,1,1,Niftysmallcap100
IDBI.ns,2023-06-16,0.32,0.27,53.85,54.0,53.5,56.65,52.9,59.0,42.5,Bullish,1,1,Niftysmallcap100
